ent,mun,est,pea,ocupados,informales
14,102,1,56.7,99.261,75.228
14,102,2,3.086,5.185,10.736
14,102,3,51.624,90.732,57.569
14,102,4,61.777,99.491,92.887
14,102,5,5.443,5.224,14.272
14,103,1,58.743,98.71,72.278
14,103,2,3.066,4.971,10.377
14,103,3,53.7,90.533,55.209
14,103,4,63.786,98.992,89.347
14,103,5,5.219,5.036,14.357
14,104,1,52.298,99.508,84.319
14,104,2,3.135,5.715,11.615
14,104,3,47.141,90.107,65.214
14,104,4,57.456,99.726,85.819
14,104,5,5.995,5.744,13.775
14,105,1,60.703,98.455,62.896
14,105,2,3.052,4.789,10.046
14,105,3,55.682,90.577,46.372
14,105,4,65.724,98.639,79.42
14,105,5,5.028,4.864,15.972
14,106,1,57.618,98.979,61.612
14,106,2,3.081,5.093,10.796
14,106,3,52.551,90.602,43.854
14,106,4,62.686,99.273,79.37
14,106,5,5.347,5.146,17.523
14,107,1,57.712,99.206,72.739
14,107,2,3.075,5.075,10.529
14,107,3,52.654,90.859,55.421
14,107,4,62.77,99.442,90.058
14,107,5,5.328,5.115,14.475
14,108,1,62.59,98.881,65.209
14,108,2,2.515,3.914,5.991
14,108,3,58.453,92.443,55.354
14,108,4,66.726,99.003,75.063
14,108,5,4.018,3.958,9.188
14,109,1,58.065,98.58,65.93
14,109,2,3.058,5.016,10.527
14,109,3,53.035,90.329,48.615
14,109,4,63.095,98.78,83.245
14,109,5,5.267,5.088,15.967
14,110,1,57.236,98.988,70.786
14,110,2,3.079,5.125,10.621
14,110,3,52.17,90.558,53.315
14,110,4,62.301,99.18,88.256
14,110,5,5.38,5.178,15.005
14,111,1,59.262,98.884,61.349
14,111,2,3.06,4.918,10.324
14,111,3,54.228,90.795,44.367
14,111,4,64.296,99.165,78.33
14,111,5,5.164,4.974,16.828
14,112,1,57.887,98.92,74.194
14,112,2,3.082,5.073,10.513
14,112,3,52.817,90.576,56.901
14,112,4,62.956,99.203,91.486
14,112,5,5.324,5.128,14.17
14,113,1,56.784,98.938,63.064
14,113,2,3.07,5.149,10.755
14,113,3,51.734,90.468,45.374
14,113,4,61.834,99.123,80.753
14,113,5,5.407,5.205,17.054
14,114,1,58.873,98.689,61.888
14,114,2,3.061,4.951,10.348
14,114,3,53.839,90.545,44.868
14,114,4,63.908,98.878,78.909
14,114,5,5.199,5.017,16.72
14,115,1,57.458,99.388,85.118
14,115,2,3.092,5.127,10.539
14,115,3,52.372,90.956,67.782
14,115,4,62.544,99.608,86.375
14,115,5,5.381,5.158,12.382
14,116,1,66.154,98.677,77.844
14,116,2,3.088,4.45,9.265
14,116,3,61.075,91.357,62.605
14,116,4,71.232,98.854,93.084
14,116,5,4.667,4.51,11.902
14,117,1,55.697,98.899,79.583
14,117,2,3.092,5.289,10.945
14,117,3,50.611,90.199,61.579
14,117,4,60.782,99.236,97.586
14,117,5,5.551,5.348,13.754
14,118,1,56.51,98.736,73.676
14,118,2,3.084,5.199,10.787
14,118,3,51.438,90.185,55.933
14,118,4,61.582,98.908,91.419
14,118,5,5.457,5.265,14.641
14,119,1,59.18,99.38,66.103
14,119,2,2.562,4.217,6.389
14,119,3,54.965,92.443,55.594
14,119,4,63.394,99.481,76.611
14,119,5,4.33,4.244,9.665
14,120,1,62.934,97.047,39.696
14,120,2,1.248,1.911,2.143
14,120,3,60.881,93.904,36.172
14,120,4,64.986,97.08,43.22
14,120,5,1.983,1.969,5.398
14,121,1,60.063,98.569,56.175
14,121,2,3.054,4.843,10.143
14,121,3,55.04,90.604,39.491
14,121,4,65.087,98.717,72.859
14,121,5,5.085,4.913,18.056
14,122,1,57.872,99.035,82.319
14,122,2,3.076,5.062,10.493
14,122,3,52.813,90.708,65.059
14,122,4,62.931,99.284,99.579
14,122,5,5.314,5.112,12.747
14,123,1,58.843,98.188,73.367
14,123,2,2.717,4.53,3.482
14,123,3,54.373,90.736,67.639
14,123,4,63.312,98.411,79.095
14,123,5,4.618,4.614,4.746
14,124,1,61.638,98.755,59.66
14,124,2,3.057,4.723,9.836
14,124,3,56.61,90.986,43.48
14,124,4,66.666,98.856,75.839
14,124,5,4.959,4.783,16.487
14,125,1,59.355,98.907,66.533
14,125,2,3.062,4.914,10.23
14,125,3,54.318,90.824,49.706
14,125,4,64.393,99.084,83.36
14,125,5,5.159,4.968,15.376
15,0,1,58.673,96.63,56.3
15,0,2,0.52,0.284,0.97
15,0,3,57.818,96.162,54.704
15,0,4,59.529,97.097,57.896
15,0,5,0.886,0.294,1.723
15,1,1,57.811,97.883,88.14
15,1,2,2.386,4.01,6.157
15,1,3,53.887,91.287,78.013
15,1,4,61.735,98.019,98.268
15,1,5,4.126,4.097,6.986
15,2,1,61.197,96.055,62.126
15,2,2,2.576,3.839,6.738
15,2,3,56.96,89.74,51.042
15,2,4,65.433,96.165,73.209
15,2,5,4.209,3.997,10.846
15,3,1,62.194,96.225,71.274
15,3,2,2.16,3.244,0.069
15,3,3,58.64,90.888,71.161
15,3,4,65.747,96.429,71.388
15,3,5,3.473,3.372,0.097
15,4,1,55.329,98.213,86.329
15,4,2,2.98,5.114,10.814
15,4,3,50.427,89.8,68.541
15,4,4,60.23,98.471,87.081
15,4,5,5.386,5.207,12.527
15,5,1,56.358,96.71,67.846
15,5,2,2.357,4.016,4.339
15,5,3,52.481,90.104,60.709
15,5,4,60.235,96.817,74.983
15,5,5,4.183,4.153,6.395
15,6,1,64.459,97.83,68.505
15,6,2,2.978,4.385,9.452
15,6,3,59.56,90.617,52.957
15,6,4,69.358,98.117,84.052
15,6,5,4.62,4.482,13.798
15,7,1,54.186,99.302,80.53
15,7,2,2.489,4.463,7.017
15,7,3,50.093,91.96,68.989
15,7,4,58.279,99.432,92.072
15,7,5,4.593,4.495,8.713
15,8,1,50.321,99.592,77.964
15,8,2,2.5,4.838,7.48
15,8,3,46.209,91.634,65.66
15,8,4,54.433,99.688,90.268
15,8,5,4.968,4.858,9.594
15,9,1,58.522,98.02,64.663
15,9,2,2.954,4.789,10.36
15,9,3,53.664,90.144,47.622
15,9,4,63.38,98.161,81.703
15,9,5,5.047,4.886,16.021
15,10,1,60.563,97.858,43.663
15,10,2,2.938,4.601,6.313
15,10,3,55.731,90.29,33.278
15,10,4,65.396,98.046,54.047
15,10,5,4.851,4.702,14.459
15,11,1,62.115,98.368,62.268
15,11,2,2.124,3.339,7.221
15,11,3,58.622,92.877,50.39
15,11,4,65.608,98.475,74.146
15,11,5,3.419,3.394,11.597
15,12,1,61.654,98.056,64.971
15,12,2,2.965,4.564,9.864
15,12,3,56.778,90.548,48.746
15,12,4,66.531,98.332,81.196
15,12,5,4.809,4.655,15.182
15,13,1,57.954,97.238,49.07
15,13,2,2.105,3.57,5.999
15,13,3,54.492,91.366,39.203
15,13,4,61.416,97.292,58.937
15,13,5,3.632,3.671,12.225
15,14,1,59.842,96.688,61.813
15,14,2,1.34,2.254,8.051
15,14,3,57.637,92.98,48.571
15,14,4,62.047,96.819,75.055
15,14,5,2.24,2.331,13.024
15,15,1,60.088,97.731,74.37
15,15,2,2.961,4.675,10.065
15,15,3,55.217,90.042,57.815
15,15,4,64.959,97.927,90.924
15,15,5,4.928,4.783,13.533
15,16,1,58.374,97.701,64.401
15,16,2,2.954,4.799,10.437
15,16,3,53.516,89.807,47.233
15,16,4,63.232,97.908,81.569
15,16,5,5.06,4.912,16.207
15,17,1,57.192,97.28,69.49
15,17,2,2.975,4.933,10.664
15,17,3,52.298,89.166,51.95
15,17,4,62.085,97.659,87.03
15,17,5,5.202,5.071,15.346
15,18,1,65.594,95.226,62.784
15,18,2,0.411,0.715,1.417
15,18,3,64.918,94.049,60.453
15,18,4,66.269,96.403,65.116
15,18,5,0.626,0.751,2.258
15,19,1,63.051,97.756,66.168
15,19,2,2.966,4.462,9.649
15,19,3,58.173,90.416,50.296
15,19,4,67.929,97.932,82.039
15,19,5,4.704,4.565,14.583
15,20,1,58.17,97.394,51.143
15,20,2,2.562,4.265,6.706
15,20,3,53.956,90.378,40.112
15,20,4,62.383,97.462,62.174
15,20,5,4.404,4.38,13.113
15,21,1,55.921,98.401,73.011
15,21,2,2.974,5.052,10.753
15,21,3,51.029,90.092,55.325
15,21,4,60.813,98.561,90.698
15,21,5,5.318,5.134,14.727
15,22,1,58.126,97.777,62.241
15,22,2,2.951,4.815,10.487
15,22,3,53.273,89.857,44.99
15,22,4,62.98,98.053,79.491
15,22,5,5.076,4.924,16.85
15,23,1,59.797,98.137,61.244
15,23,2,2.957,4.693,10.145
15,23,3,54.934,90.418,44.557
15,23,4,64.661,98.294,77.931
15,23,5,4.945,4.782,16.565
15,24,1,59.46,97.552,29.532
15,24,2,1.769,3.584,4.595
15,24,3,56.55,91.658,21.974
15,24,4,62.37,97.637,37.091
15,24,5,2.975,3.673,15.561
15,25,1,62.635,97.045,63.408
15,25,2,1.93,3.263,5.917
15,25,3,59.459,91.678,53.676
15,25,4,65.81,97.108,73.141
15,25,5,3.082,3.362,9.332
15,26,1,57.727,97.978,72.621
15,26,2,2.965,4.875,10.472
15,26,3,52.85,89.959,55.397
15,26,4,62.605,98.169,89.845
15,26,5,5.137,4.976,14.419
15,27,1,56.028,98.909,56.276
15,27,2,2.581,4.481,7.1
15,27,3,51.782,91.538,44.598
15,27,4,60.274,99.119,67.954
15,27,5,4.607,4.531,12.616
15,28,1,57.993,98.267,63.219
15,28,2,2.955,4.837,10.434
15,28,3,53.132,90.311,46.057
15,28,4,62.853,98.442,80.38
15,28,5,5.095,4.922,16.504
15,29,1,62.43,97.482,69.493
15,29,2,2.441,3.593,5.695
15,29,3,58.415,91.572,60.125
15,29,4,66.445,97.563,78.861
15,29,5,3.91,3.686,8.195
15,30,1,68.491,97.505,70.53
15,30,2,3.014,4.179,8.97
15,30,3,63.533,90.631,55.776
15,30,4,73.449,97.71,85.284
15,30,5,4.401,4.286,12.718
15,31,1,56.609,96.82,69.175
15,31,2,1.553,2.666,2.842
15,31,3,54.054,92.435,64.5
15,31,4,59.163,96.873,73.849
15,31,5,2.743,2.754,4.109
15,32,1,57.719,98.506,94.788
15,32,2,2.461,4.146,6.432
15,32,3,53.672,91.687,84.208
15,32,4,61.767,98.662,95.087
15,32,5,4.264,4.209,6.786
15,33,1,60.072,96.491,57.907
15,33,2,1.571,2.628,3.966
15,33,3,57.489,92.168,51.383
15,33,4,62.656,96.524,64.431
15,33,5,2.615,2.723,6.849
15,34,1,59.96,98.024,80.787
15,34,2,2.969,4.7,10.055
15,34,3,55.076,90.294,64.249
15,34,4,64.844,98.335,97.326
15,34,5,4.952,4.795,12.446
15,35,1,60.567,97.417,46.933
15,35,2,2.964,4.641,5.484
15,35,3,55.691,89.784,37.913
15,35,4,65.443,97.512,55.953
15,35,5,4.894,4.764,11.684
15,36,1,60.64,97.858,68.969
15,36,2,2.958,4.628,9.989
15,36,3,55.774,90.245,52.538
15,36,4,65.506,98.014,85.4
15,36,5,4.878,4.729,14.484
15,37,1,59.53,96.718,55.958
15,37,2,1.961,3.348,5.914
15,37,3,56.304,91.21,46.23
15,37,4,62.755,96.797,65.686
15,37,5,3.294,3.462,10.569
15,38,1,58.739,97.837,70.523
15,38,2,2.538,4.181,6.824
15,38,3,54.564,90.959,59.299
15,38,4,62.914,98.144,81.747
15,38,5,4.321,4.274,9.676
15,39,1,60.836,95.731,54.182
15,39,2,2.084,3.262,6.378
15,39,3,57.408,90.365,43.691
15,39,4,64.265,95.796,64.673
15,39,5,3.426,3.407,11.771
15,40,1,59.049,98.254,68.899
15,40,2,2.961,4.76,10.246
15,40,3,54.179,90.425,52.046
15,40,4,63.919,98.416,85.751
15,40,5,5.014,4.845,14.87
15,41,1,56.382,98.856,94.015
15,41,2,2.995,5.05,10.573
15,41,3,51.455,90.55,76.624
15,41,4,61.308,99.159,94.764
15,41,5,5.312,5.108,11.246
15,42,1,59.305,97.757,61.77
15,42,2,2.955,4.726,5.556
15,42,3,54.444,89.984,52.631
15,42,4,64.165,97.847,70.908
15,42,5,4.983,4.834,8.994
15,43,1,61.12,97.412,70.304
15,43,2,2.968,4.605,9.978
15,43,3,56.238,89.838,53.892
15,43,4,66.002,97.625,86.716
15,43,5,4.856,4.727,14.193
15,44,1,61.504,99.3,66.274
15,44,2,1.41,2.271,2.96
15,44,3,59.184,95.564,61.406
15,44,4,63.824,99.408,71.142
15,44,5,2.293,2.287,4.466
15,45,1,58.033,96.076,73.293
15,45,2,2.297,3.858,2.163
15,45,3,54.256,89.731,69.736
15,45,4,61.811,96.236,76.85
15,45,5,3.957,4.015,2.951
15,46,1,57.389,97.745,61.75
15,46,2,2.955,4.884,10.604
15,46,3,52.528,89.711,44.308
15,46,4,62.249,97.994,79.191
15,46,5,5.149,4.997,17.172
15,47,1,59.251,97.915,63.235
15,47,2,0.121,0.94,6.149
15,47,3,59.053,96.369,53.122
15,47,4,59.45,99.461,73.348
15,47,5,0.204,0.96,9.723
15,48,1,57.651,97.686,61.603
15,48,2,2.954,4.86,10.531
15,48,3,52.792,89.692,44.281
15,48,4,62.511,97.824,78.925
15,48,5,5.124,4.975,17.095
15,49,1,59.832,97.926,76.236
15,49,2,2.962,4.698,10.104
15,49,3,54.959,90.198,59.616
15,49,4,64.704,98.195,92.856
15,49,5,4.951,4.798,13.254
15,50,1,60.649,97.715,70.117
15,50,2,2.96,4.629,10.008
15,50,3,55.78,90.101,53.654
15,50,4,65.518,97.927,86.579
15,50,5,4.88,4.737,14.274
15,51,1,65.802,97.209,51.276
15,51,2,1.448,2.553,5.956
15,51,3,63.421,93.009,41.478
15,51,4,68.184,97.299,61.073
15,51,5,2.201,2.626,11.616
15,52,1,61.202,98.428,74.616
15,52,2,2.97,4.609,9.831
15,52,3,56.317,90.846,58.445
15,52,4,66.088,98.599,90.787
15,52,5,4.853,4.683,13.176
15,53,1,59.697,97.388,53.28
15,53,2,2.953,4.69,5.333
15,53,3,54.839,89.674,44.507
15,53,4,64.554,97.54,62.052
15,53,5,4.947,4.815,10.01
15,54,1,56.336,96.196,42.506
15,54,2,1.541,2.666,3.051
15,54,3,53.801,91.81,37.488
15,54,4,58.87,96.29,47.525
15,54,5,2.735,2.772,7.178
15,55,1,58.282,99.191,59.063
15,55,2,2.577,4.301,6.771
15,55,3,54.043,92.116,47.926
15,55,4,62.522,99.36,70.2
15,55,5,4.422,4.336,11.463
15,56,1,54.92,98.753,88.882
15,56,2,2.463,4.361,6.779
15,56,3,50.868,91.579,77.731
15,56,4,58.972,98.903,89.348
15,56,5,4.485,4.417,7.627
15,57,1,59.662,95.156,44.697
15,57,2,1.446,2.503,3.893
15,57,3,57.284,91.039,38.293
15,57,4,62.04,99.274,51.1
15,57,5,2.423,2.631,8.71
15,58,1,57.828,95.551,55.613
15,58,2,1.873,3.383,4.169
15,58,3,54.747,89.987,48.755
15,58,4,60.909,95.598,62.471
15,58,5,3.239,3.54,7.497
15,59,1,62.007,96.553,50.979
15,59,2,2.41,3.789,5.976
15,59,3,58.042,90.322,41.15
15,59,4,65.972,96.736,60.808
15,59,5,3.887,3.924,11.722
15,60,1,59.371,92.16,51.098
15,60,2,2.396,3.607,6.819
15,60,3,55.43,86.228,39.881
15,60,4,63.312,98.092,62.314
15,60,5,4.036,3.913,13.345
15,61,1,60.582,97.947,63.721
15,61,2,2.953,4.624,10.061
15,61,3,55.725,90.342,47.172
15,61,4,65.439,98.26,80.27
15,61,5,4.874,4.721,15.789
15,62,1,62.189,98.094,55.114
15,62,2,2.36,3.7,9.768
15,62,3,58.307,92.009,39.046
15,62,4,66.07,98.211,71.181
15,62,5,3.794,3.772,17.724
15,63,1,58.272,97.903,75.884
15,63,2,2.966,4.83,10.394
15,63,3,53.393,89.958,58.787
15,63,4,63.15,98.086,92.981
15,63,5,5.09,4.933,13.697
15,64,1,56.273,98.327,76.364
15,64,2,2.968,5.008,10.685
15,64,3,51.391,90.089,58.789
15,64,4,61.155,98.489,93.94
15,64,5,5.274,5.093,13.992
15,65,1,61.119,97.929,63.241
15,65,2,2.958,4.593,9.957
15,65,3,56.253,90.374,46.862
15,65,4,65.985,98.1,79.619
15,65,5,4.84,4.69,15.745
15,66,1,56.739,98.717,98.546
15,66,2,2.986,5.001,10.501
15,66,3,51.828,90.491,81.273
15,66,4,61.65,99.082,98.94
15,66,5,5.263,5.066,10.656
15,67,1,61.497,95.23,68.385
15,67,2,0.281,2.934,9.079
15,67,3,61.035,90.403,53.452
15,67,4,61.959,95.402,83.319
15,67,5,0.457,3.081,13.276
15,68,1,59.801,98.041,71.401
15,68,2,2.961,4.699,10.102
15,68,3,54.931,90.312,54.784
15,68,4,64.672,98.225,88.018
15,68,5,4.951,4.792,14.149
15,69,1,55.553,100,77.406
15,69,2,3.097,5.304,10.683
15,69,3,50.458,91.275,59.835
15,69,4,60.648,100,94.977
15,69,5,5.576,5.304,13.801
15,70,1,61.339,97.191,68.117
15,70,2,2.605,4.095,4.983
15,70,3,57.054,90.455,59.92
15,70,4,65.624,97.262,76.314
15,70,5,4.247,4.214,7.316
15,71,1,56.895,98.367,61.86
15,71,2,2.949,4.92,10.694
15,71,3,52.045,90.274,44.27
15,71,4,61.746,98.609,79.449
15,71,5,5.183,5.002,17.287
15,72,1,60.848,97.812,63.55
15,72,2,2.956,4.608,9.995
15,72,3,55.986,90.232,47.109
15,72,4,65.711,98.077,79.99
15,72,5,4.858,4.712,15.728
15,73,1,62.665,97.074,62.395
15,73,2,2.978,4.506,9.775
15,73,3,57.766,89.663,46.316
15,73,4,67.564,97.292,78.473
15,73,5,4.753,4.641,15.666
15,74,1,57.664,97.85,77.899
15,74,2,2.979,4.904,10.507
15,74,3,52.764,89.784,60.617
15,74,4,62.564,97.946,95.182
15,74,5,5.166,5.011,13.488
15,75,1,60.035,97.442,61.639
15,75,2,2.957,4.669,10.172
15,75,3,55.172,89.762,44.908
15,75,4,64.898,97.655,78.371
15,75,5,4.925,4.792,16.503
15,76,1,63.641,97.519,50.69
15,76,2,2.263,3.534,5.638
15,76,3,59.919,91.707,41.416
15,76,4,67.362,97.634,59.963
15,76,5,3.555,3.624,11.122
15,77,1,54.098,98.417,88.003
15,77,2,2.982,5.237,11.056
15,77,3,49.193,89.803,69.818
15,77,4,59.004,98.778,89.075
15,77,5,5.513,5.321,12.563
15,78,1,55.644,98.116,82.174
15,78,2,2.975,5.077,10.813
15,78,3,50.75,89.766,64.388
15,78,4,60.538,98.445,99.96
15,78,5,5.347,5.174,13.159
15,79,1,57.455,98.042,63.253
15,79,2,2.952,4.875,10.59
15,79,3,52.6,90.024,45.835
15,79,4,62.31,98.313,80.671
15,79,5,5.137,4.972,16.742
15,80,1,51.988,98.838,93.382
15,80,2,3.001,5.49,11.43
15,80,3,47.051,89.808,74.581
15,80,4,56.924,99.012,93.816
15,80,5,5.773,5.554,12.24
15,81,1,57.602,97.196,27.783
15,81,2,2.481,4.123,2.49
15,81,3,53.522,90.414,23.688
15,81,4,61.682,97.25,31.878
15,81,5,4.306,4.242,8.962
15,82,1,56.251,98.82,76.909
15,82,2,2.414,4.161,10.636
15,82,3,52.281,91.976,59.414
15,82,4,60.222,98.916,94.403
15,82,5,4.291,4.211,13.829
15,83,1,58.366,97.948,62.715
15,83,2,2.96,4.812,10.46
15,83,3,53.497,90.033,45.509
15,83,4,63.234,98.228,79.92
15,83,5,5.071,4.913,16.679
15,84,1,60.11,97.893,67.613
15,84,2,2.955,4.664,10.1
15,84,3,55.248,90.221,51.001
15,84,4,64.971,98.054,84.225
15,84,5,4.917,4.765,14.937
15,85,1,56.786,98.15,76.614
15,85,2,2.964,4.954,10.581
15,85,3,51.911,90,59.211
15,85,4,61.661,98.278,94.018
15,85,5,5.219,5.048,13.81
15,86,1,55.242,98.274,79.412
15,86,2,2.977,5.119,10.883
15,86,3,50.345,89.855,61.511
15,86,4,60.14,98.449,97.313
15,86,5,5.39,5.209,13.705
15,87,1,57.357,99.153,82.836
15,87,2,2.333,3.973,5.914
15,87,3,53.519,92.618,73.108
15,87,4,61.194,99.222,92.564
15,87,5,4.068,4.007,7.14
15,88,1,59.826,97.926,63.167
15,88,2,2.953,4.683,10.143
15,88,3,54.969,90.223,46.483
15,88,4,64.683,98.031,79.85
15,88,5,4.936,4.782,16.057
15,89,1,58.54,98.343,61.436
15,89,2,2.527,4.186,6.841
15,89,3,54.383,91.458,50.184
15,89,4,62.697,98.614,72.689
15,89,5,4.317,4.256,11.135
15,90,1,62.015,97.938,63.328
15,90,2,2.959,4.527,9.795
15,90,3,57.148,90.492,47.217
15,90,4,66.882,98.049,79.439
15,90,5,4.771,4.622,15.467
15,91,1,58.881,98.372,55.519
15,91,2,2.952,4.759,10.295
15,91,3,54.026,90.544,38.586
15,91,4,63.736,98.489,72.452
15,91,5,5.013,4.838,18.543
15,92,1,56.108,98.865,64.537
15,92,2,2.393,4.155,10.716
15,92,3,52.172,92.031,46.911
15,92,4,60.044,98.969,82.164
15,92,5,4.265,4.202,16.605
15,93,1,59.178,97.205,61.359
15,93,2,2.965,4.749,10.33
15,93,3,54.302,89.393,44.368
15,93,4,64.055,97.421,78.35
15,93,5,5.01,4.886,16.835
15,94,1,60.012,97.655,71.469
15,94,2,2.96,4.678,10.104
15,94,3,55.143,89.96,54.849
15,94,4,64.881,97.9,88.088
15,94,5,4.933,4.791,14.137
15,95,1,60.678,97.351,48.414
15,95,2,2.949,4.607,10.118
15,95,3,55.828,89.774,31.771
15,95,4,65.529,97.467,65.057
15,95,5,4.86,4.732,20.899
15,96,1,61.527,97.637,63.103
15,96,2,2.957,4.557,9.881
15,96,3,56.664,90.141,46.851
15,96,4,66.391,97.813,79.356
15,96,5,4.805,4.668,15.658
15,97,1,55.77,98.55,83.956
15,97,2,2.98,5.076,10.704
15,97,3,50.868,90.2,66.349
15,97,4,60.671,98.766,84.714
15,97,5,5.343,5.151,12.749
15,98,1,62.598,97.948,83.753
15,98,2,2.975,4.51,9.667
15,98,3,57.705,90.53,67.853
15,98,4,67.49,98.354,99.654
15,98,5,4.752,4.604,11.542
15,99,1,59.618,97.837,69.615
15,99,2,1.852,2.943,5.425
15,99,3,56.572,92.996,60.691
15,99,4,62.664,97.902,78.538
15,99,5,3.106,3.008,7.793
15,100,1,71.21,98.458,71.68
15,100,2,1.894,2.61,6.669
15,100,3,68.095,94.164,60.711
15,100,4,74.325,98.579,82.649
15,100,5,2.659,2.651,9.304
15,101,1,60.536,98.177,60.004
15,101,2,2.957,4.636,10.007
15,101,3,55.673,90.551,43.544
15,101,4,65.399,98.286,76.465
15,101,5,4.884,4.722,16.678
15,102,1,53.495,97.915,70.888
15,102,2,2.971,5.272,11.303
15,102,3,48.608,89.242,52.297
15,102,4,58.383,98.184,89.479
15,102,5,5.554,5.385,15.944
15,103,1,52.038,100,67.529
15,103,2,0.886,4.989,2.966
15,103,3,50.58,91.794,62.65
15,103,4,53.497,100,72.408
15,103,5,1.704,4.989,4.393
15,104,1,53.304,96.168,38.527
15,104,2,1.799,3.47,4.57
15,104,3,50.345,90.46,31.01
15,104,4,56.263,96.226,46.043
15,104,5,3.375,3.609,11.861
15,105,1,50.947,98.892,87.173
15,105,2,2.995,5.589,11.683
15,105,3,46.022,89.698,67.955
15,105,4,55.873,99.04,87.7
15,105,5,5.878,5.652,13.403
15,106,1,55.618,96.684,47.771
15,106,2,1.312,2.194,1.613
15,106,3,53.46,93.075,45.118
15,106,4,57.776,96.73,50.424
15,106,5,2.359,2.269,3.376
15,107,1,58.71,98.154,77.451
15,107,2,2.965,4.795,10.27
15,107,3,53.832,90.267,60.558
15,107,4,63.588,98.423,94.345
15,107,5,5.051,4.885,13.26
15,108,1,63.017,93.617,56.281
15,108,2,2.17,3.121,6.139
15,108,3,59.447,88.484,46.183
15,108,4,66.587,98.75,66.38
15,108,5,3.444,3.334,10.908
15,109,1,59.471,96.308,42.246
15,109,2,2.249,3.885,4.619
15,109,3,55.773,89.918,34.649
15,109,4,63.17,96.37,49.844
15,109,5,3.781,4.034,10.933
15,110,1,62.765,97.289,78.506
15,110,2,1.009,2.113,4.043
15,110,3,61.106,93.813,71.856
15,110,4,64.424,97.442,85.156
15,110,5,1.607,2.172,5.15
15,111,1,56.846,97.879,76.769
15,111,2,2.981,4.978,10.649
15,111,3,51.942,89.69,59.253
15,111,4,61.749,98.036,94.284
15,111,5,5.244,5.086,13.871
15,112,1,59.057,97.465,79.859
15,112,2,2.423,3.998,6.2
15,112,3,55.072,90.889,69.661
15,112,4,63.042,97.633,90.057
15,112,5,4.102,4.102,7.763
15,113,1,56.927,98.733,78.139
15,113,2,0.278,0.68,5.187
15,113,3,56.47,97.615,69.607
15,113,4,57.384,99.851,86.67
15,113,5,0.488,0.689,6.638
15,114,1,55.189,98.913,87.016
15,114,2,2.34,4.146,6.16
15,114,3,51.339,92.094,76.884
15,114,4,59.038,98.994,97.148
15,114,5,4.241,4.191,7.079
15,115,1,61.129,98.108,63.943
15,115,2,2.96,4.595,9.929
15,115,3,56.261,90.549,47.612
15,115,4,65.997,98.244,80.274
15,115,5,4.842,4.684,15.527
15,116,1,61.281,98.618,77.602
15,116,2,2.982,4.624,9.88
15,116,3,56.376,91.013,61.351
15,116,4,66.185,98.979,93.854
15,116,5,4.866,4.688,12.732
15,117,1,51.164,99.08,74.765
15,117,2,2.536,4.808,7.686
15,117,3,46.994,91.172,62.124
15,117,4,55.335,99.279,87.407
15,117,5,4.956,4.853,10.28
15,118,1,54.08,96.387,70.989
15,118,2,0.768,1.404,6.756
15,118,3,52.816,94.077,59.877
15,118,4,55.343,98.698,82.101
15,118,5,1.421,1.457,9.517
15,119,1,55.771,98.312,85.843
15,119,2,2.98,5.075,10.766
15,119,3,50.869,89.964,68.134
15,119,4,60.673,98.543,86.548
15,119,5,5.343,5.162,12.542
15,120,1,52.029,92.901,55.707
15,120,2,2.26,3.688,2.479
15,120,3,48.312,86.835,51.629
15,120,4,55.747,98.968,59.785
15,120,5,4.343,3.97,4.451
15,121,1,58.967,96.295,38.434
15,121,2,1.718,2.925,3.913
15,121,3,56.141,91.484,31.999
15,121,4,61.792,96.354,44.87
15,121,5,2.913,3.037,10.18
15,122,1,59.097,97.461,67.217
15,122,2,2.12,3.877,5.498
15,122,3,55.609,91.084,58.173
15,122,4,62.584,97.522,76.261
15,122,5,3.588,3.978,8.18
15,123,1,53.995,98.853,86.277
15,123,2,2.98,5.245,11.013
15,123,3,49.094,90.225,68.162
15,123,4,58.897,99.009,86.847
15,123,5,5.519,5.306,12.765
15,124,1,56.393,98.191,83.179
15,124,2,2.994,5.044,10.731
15,124,3,51.468,89.894,65.528
15,124,4,61.319,98.299,83.519
15,124,5,5.31,5.137,12.901
15,125,1,60.951,97.421,56.812
15,125,2,2.959,4.603,10.067
15,125,3,56.084,89.849,40.254
15,125,4,65.819,97.719,73.37
15,125,5,4.855,4.725,17.719
16,0,1,59.941,98.339,67.131
16,0,2,0.661,0.201,1.046
16,0,3,58.854,98.009,65.411
16,0,4,61.027,98.669,68.852
16,0,5,1.102,0.204,1.558
16,1,1,62.491,98.915,82.709
16,1,2,2.562,3.977,6.305
16,1,3,58.277,92.374,72.338
16,1,4,66.706,99.129,93.08
16,1,5,4.1,4.021,7.623
16,2,1,59.322,98.612,79.973
16,2,2,2.987,4.795,10.038
16,2,3,54.408,90.726,63.462
16,2,4,64.235,98.841,96.485
16,2,5,5.036,4.862,12.552
16,3,1,56.93,98.513,72.4
16,3,2,2.98,4.984,10.463
16,3,3,52.028,90.315,55.189
16,3,4,61.833,98.704,89.611
16,3,5,5.235,5.059,14.452
16,4,1,55.28,98.542,83.477
16,4,2,2.989,5.149,10.779
16,4,3,50.363,90.074,65.746
16,4,4,60.196,98.772,84.297
16,4,5,5.407,5.225,12.913
16,5,1,56.493,98.668,79.082
16,5,2,2.987,5.034,10.533
