ent,mun,est,pea,ocupados,informales
4,4,5,3.973,3.994,8.272
4,5,1,60.575,98.833,64.459
4,5,2,2.1,3.295,2.613
4,5,3,57.121,93.414,60.161
4,5,4,64.029,98.971,68.758
4,5,5,3.467,3.333,4.054
4,6,1,61.29,98.391,82.716
4,6,2,2.707,4.269,6.249
4,6,3,56.838,91.37,72.437
4,6,4,65.742,98.538,92.995
4,6,5,4.416,4.338,7.555
4,7,1,61.889,98.431,75.142
4,7,2,2.273,3.333,6.087
4,7,3,58.151,92.95,65.13
4,7,4,65.627,98.729,85.153
4,7,5,3.672,3.386,8.1
4,8,1,61.847,99.124,58.903
4,8,2,2.565,4.019,6.489
4,8,3,57.628,92.513,48.23
4,8,4,66.066,99.314,69.577
4,8,5,4.148,4.055,11.016
4,9,1,62.61,98.15,71.48
4,9,2,2.15,3.394,6.314
4,9,3,59.074,92.566,61.094
4,9,4,66.146,98.281,81.865
4,9,5,3.433,3.458,8.833
4,10,1,62.149,99.092,84.606
4,10,2,2.624,4.084,4.562
4,10,3,57.833,92.374,77.102
4,10,4,66.466,99.22,92.109
4,10,5,4.222,4.122,5.392
4,11,1,56.88,99.357,89.108
4,11,2,1.711,2.897,3.697
4,11,3,54.066,94.592,83.027
4,11,4,59.694,99.447,95.19
4,11,5,3.008,2.915,4.149
4,12,1,62.957,98.324,54.019
4,12,2,2.99,4.526,9.734
4,12,3,58.038,90.88,38.007
4,12,4,67.876,98.554,70.03
4,12,5,4.75,4.603,18.02
5,0,1,60.964,96.372,34.573
5,0,2,0.537,0.274,0.788
5,0,3,60.08,95.921,33.276
5,0,4,61.847,96.822,35.87
5,0,5,0.881,0.284,2.281
5,1,1,56.247,98.818,71.751
5,1,2,3.013,5.095,10.393
5,1,3,51.291,90.437,54.656
5,1,4,61.202,99.427,88.846
5,1,5,5.356,5.156,14.485
5,2,1,64.785,95.76,32.672
5,2,2,2.394,3.517,4.801
5,2,3,60.848,89.975,24.775
5,2,4,68.723,95.877,40.568
5,2,5,3.695,3.673,14.695
5,3,1,58.481,96.718,32.952
5,3,2,2.194,3.555,3.378
5,3,3,54.872,90.871,27.396
5,3,4,62.091,96.999,38.508
5,3,5,3.752,3.676,10.251
5,4,1,56.102,97.719,45.35
5,4,2,2.077,3.698,4.806
5,4,3,52.686,91.637,37.445
5,4,4,59.518,97.929,53.255
5,4,5,3.702,3.784,10.597
5,5,1,57.153,98.787,69.245
5,5,2,2.981,4.957,10.121
5,5,3,52.251,90.634,52.598
5,5,4,62.056,99.323,85.893
5,5,5,5.215,5.017,14.616
5,6,1,55.471,99.438,26.292
5,6,2,2.501,4.387,6.349
5,6,3,51.356,92.221,15.849
5,6,4,59.585,99.54,36.734
5,6,5,4.509,4.412,24.147
5,7,1,58.802,98.362,57.915
5,7,2,2.967,4.791,9.767
5,7,3,53.921,90.482,41.85
5,7,4,63.683,98.623,73.98
5,7,5,5.047,4.871,16.864
5,8,1,52.477,98.953,59.536
5,8,2,2.656,4.892,7.645
5,8,3,48.108,90.907,46.961
5,8,4,56.847,99.351,72.111
5,8,5,5.062,4.944,12.841
5,9,1,59.193,98.069,50.71
5,9,2,2.973,4.766,9.667
5,9,3,54.303,90.228,34.809
5,9,4,64.083,98.204,66.611
5,9,5,5.023,4.86,19.063
5,10,1,60.002,95.301,36.326
5,10,2,2.114,2.927,4.913
5,10,3,56.524,90.486,28.245
5,10,4,63.479,95.48,44.407
5,10,5,3.524,3.072,13.524
5,11,1,58.345,98.768,42.29
5,11,2,2.574,4.275,6.435
5,11,3,54.111,91.736,31.705
5,11,4,62.578,98.999,52.875
5,11,5,4.411,4.329,15.217
5,12,1,58.977,98.922,70.144
5,12,2,3.063,4.946,9.934
5,12,3,53.939,90.787,53.804
5,12,4,64.016,99.407,86.484
5,12,5,5.193,5,14.162
5,13,1,58.93,98.62,78.682
5,13,2,2.964,4.779,9.827
5,13,3,54.054,90.76,62.518
5,13,4,63.806,99.202,94.846
5,13,5,5.03,4.845,12.489
5,14,1,56.922,98.52,54.349
5,14,2,2.593,4.416,6.728
5,14,3,52.658,91.257,43.282
5,14,4,61.187,98.804,65.416
5,14,5,4.555,4.482,12.38
5,15,1,58.062,98.416,69.927
5,15,2,2.971,4.859,9.986
5,15,3,53.175,90.423,53.502
5,15,4,62.949,99.05,86.353
5,15,5,5.117,4.937,14.28
5,16,1,59.661,98.384,68.865
5,16,2,3.022,4.815,9.769
5,16,3,54.691,90.464,52.796
5,16,4,64.632,98.979,84.934
5,16,5,5.065,4.894,14.186
5,17,1,60.196,97.108,41.118
5,17,2,1.672,2.492,2.379
5,17,3,57.447,93.009,37.205
5,17,4,62.945,97.224,45.032
5,17,5,2.777,2.566,5.786
5,18,1,58.772,97.668,31.224
5,18,2,1.584,2.789,3.49
5,18,3,56.167,93.08,25.483
5,18,4,61.376,97.742,36.964
5,18,5,2.695,2.856,11.178
5,19,1,58.555,98.158,55.206
5,19,2,2.97,4.815,9.848
5,19,3,53.669,90.238,39.009
5,19,4,63.441,98.5,71.404
5,19,5,5.073,4.905,17.838
5,20,1,53.726,99.217,39.932
5,20,2,1.992,4.208,2.98
5,20,3,50.449,92.296,35.03
5,20,4,57.002,99.298,44.833
5,20,5,3.708,4.241,7.463
5,21,1,58.143,97.948,65.235
5,21,2,2.974,4.854,9.973
5,21,3,53.251,89.963,48.831
5,21,4,63.035,98.338,81.639
5,21,5,5.115,4.956,15.288
5,22,1,55.978,100,40.333
5,22,2,2.028,3.959,8.302
5,22,3,52.642,93.488,26.677
5,22,4,59.314,100,53.989
5,22,5,3.623,3.959,20.585
5,23,1,55.485,99.697,64.326
5,23,2,0.335,2.314,10.249
